text,binary,multiclass
"Tal vez no lo conscientes, pero algo que no ha pasado pero tiene una posibilidad o probabilidad de suceder es potencial, por lo que la palabra es precisa para describirla. ",Not Hope,Sarcasm
"Tener la dieta más equilibrada, un equilibrio saludable de codeína, Panadol e ibuprofeno ...",Hope,Sarcasm
El hecho de que crea que el plan 9-9-9 es bueno solo demuestra que eres tan estúpido como lo es Herman Cain. ,Hope,Sarcasm
Extraño caminar por 3 tramos de escaleras para la clase y tener que recuperar el aliento en el baño `` ',Not Hope,Sarcasm
Wow ... hay una persona real debajo. ,Hope,Sarcasm
"Tu reputación La Savoir Faire con notas sucias te precede, cariño. ",Not Hope,Sarcasm
"Entonces ves a un policía en las calles, ves que está armado, eso es suficiente para inducir agresión y violencia, posiblemente hacerte lastimar a los demás, simplemente porque viste que alguien más estaba armado?",Not Hope,Sarcasm
"Simone Baby, veré tu Sanford y te criaré un Mark Spitzer, John Edwards, Jim McGreevey y, por supuesto, el rey de Sleeze der Slickmeister Willie.",Hope,Sarcasm
Increíble lo rápido que puede ir este equipo de 13 seguidos a perder tres seguidos. ,Hope,Sarcasm
¿Quién dice que hay una vida futura? ,Not Hope,Sarcasm
"Exactamente, para todos los demás, ""Wascallywabit"" tiene mucho más sentido que ""Pandion"" que en realidad no responde a ningún problema, está demasiado admirando cuán ""genial es en la biología"".
",Not Hope,Sarcasm
"Fue el impulso de Alemania por el nacionalismo lo que llevó a la derrota de Britian, WWLL. ",Not Hope,Sarcasm
Pensé que serías feliz. ,Hope,Sarcasm
"Wow, un hilo que me trata como un xxxxx al arrojarme propaganda absurda, eso es convincente y gana mis simpatías. ",Not Hope,Sarcasm
Creo que no me estás entendiendo. ,Not Hope,Sarcasm
"""Hopium"" es la adicción eterna al acaparar armas de armas contra los constitucionalistas para esperar que puedan cambiar la constitución para que se adopten todas sus leyes e ideas. ",Hope,Sarcasm
"Y aquí el Assi una vez más se niega a responder a una publicación válida, ya que personalmente insulta a un miembro que muestra más inteligencia y sabiduría que en cada publicación de COBHC. ",Not Hope,Sarcasm
"Creo que estás muy equivocado.
",Not Hope,Sarcasm
"Entonces, no hay fuente real. ",Not Hope,Sarcasm
No ofusqué nada. ,Not Hope,Sarcasm
"Bueno, estábamos cansados ​​de que no respondieras o dijeras: ""No vale la pena mi tiempo"".",Not Hope,Sarcasm
"Quizás debería haber usado la fuente del ""sarcasmo"". ",Hope,Sarcasm
"Usted es todo enfermo por ser malo con Trump tanto por la tolerante izquierda ����� 

",Not Hope,Sarcasm
"Oh, por favor ... dígale a una familia de cuatro en bancarrota de cuatro que no puede pagar facturas médicas ...",Not Hope,Sarcasm
Me alegro de saber que traes ortografía a esto. ,Not Hope,Sarcasm
Me encanta dejar el consultorio de los médicos llorando. ,Hope,Sarcasm
"No en tu mente de Doll, no tiene mucho que esté claro King Trident ... ¿por qué no vas a cazar un atún o algo ...",Not Hope,Sarcasm
"Por supuesto, Dios tendría algo que ofrecer a Peonwely Peon, pero eso no explica qué uso tiene Dios para peones, excepto por hacer estúpidos trucos para mascotas.",Not Hope,Sarcasm
"Ven a Inglaterra y te conocería Sugarplumemotonxbye
",Not Hope,Sarcasm
¿La prohibición dejó de beber? ,Not Hope,Sarcasm
@MailOnline Otro rapero homofóbico misógino y homofóbico ... ¡qué impactante!,Not Hope,Sarcasm
"No solo lanzaría el interruptor, sino que también pagaría la factura de electricidad. ",Not Hope,Sarcasm
"Creo que también podrías enseñar a controlar armas en una escuela sin armas.
",Not Hope,Sarcasm
¿Quién necesita una alarma cuando puedes tener la baja voz de un extraño para despertarte por la mañana?,Not Hope,Sarcasm
como en Afganistán? ,Hope,Sarcasm
¿Está justo al lado de Anwr? ,Not Hope,Sarcasm
"Sí, lo superan en un año o dos. ",Hope,Sarcasm
"Sí, EZ es lo que volverá a perseguirte. ",Not Hope,Sarcasm
"Dado que le gusta tanto informar ataques personales al mod, ¿tal vez alguien debería devolverle el favor? ",Not Hope,Sarcasm
"Ahora estoy leyendo 4 libros a la vez, ¿qué podría salir mal?",Not Hope,Sarcasm
¿De dónde sacó Jesús sus poderes mágicos? ,Hope,Sarcasm
"Y estoy seguro de que te haces esa misma pregunta antes de que desabroches tu mosca y sacas tu pico, ¿verdad?",Not Hope,Sarcasm
"¡Guau ""numerosos individuos""! ",Hope,Sarcasm
SIMONE: Soy una víctima crónica: pensé en pedirle a EasyRider una receta.,Hope,Sarcasm
Nunca he escuchado a un conservador que era pro gay y mucho menos el matrimonio entre el mismo sexo. ,Not Hope,Sarcasm
"No puedo esperar para nombrar a mis hijos después de las cosas que nunca tendré. 
",Hope,Sarcasm
"Traté de no parecer un turista cuando fui a Nueva York en mayo pasado, pero supongo que lo regalé con todas las fotos que estaba tomando.",Not Hope,Sarcasm
"Ese es un hecho interesante, ¿cómo es que nunca he escuchado tal cosa ... tal vez un enlace está en orden y no una tormenta o el enlace similar por favor ...
",Not Hope,Sarcasm
¿Crees que el metro está alado de izquierda? ,Not Hope,Sarcasm
¡Buena lección! ,Not Hope,Sarcasm
"En realidad, tiene sentido solo para ti. ",Not Hope,Sarcasm
"Ja, eso es solo una perspectiva idiota. ",Not Hope,Sarcasm
Parece que los nazis de seguridad sienten que las zonas sin armas deben correr como prisiones. ,Not Hope,Sarcasm
¡Hush Poseidón! ,Not Hope,Sarcasm
"¿Qué provocó esto?
",Not Hope,Sarcasm
Cita de Johnhanks: 'Cita: Publicado originalmente por Inri ... El sexo no es más que animal hasta que se practique de acuerdo con la Eucaristía ... Estoy fascinado. ,Not Hope,Sarcasm
"También has dicho esto en otros foros: no tienes $ 10,000. ",Not Hope,Sarcasm
¿De quién es este dios del que hablas? ,Hope,Sarcasm
@ThePARTRIDGEPOD Desconde el congelador con el elenco de Hollyoaks. ,Hope,Sarcasm
"Bueno, considerando cuán ambiguas y contradictorias son las Escrituras cristianas, supongo que esta interpetación tiene tanto sentido como cualquiera de los demás.",Not Hope,Sarcasm
Fue un intento de ironía que no es fácil de entender para ustedes norteamericanos.,Not Hope,Sarcasm
Esto se llama lógica extremista. ,Not Hope,Sarcasm
Voy a extrañar los escaneos acortando mi nombre a `` CHRIST���� 'después de 16 años,Hope,Sarcasm
"Realmente odias la verdad, ¿no eres Lyte! ",Not Hope,Sarcasm
"Por lo tanto, admite que preferiría la ignorancia al conocimiento. ",Not Hope,Sarcasm
"Deben sufrir terriblemente en las nieves profundas del invierno canadiense, ¿eh? ",Not Hope,Sarcasm
¿Asumo que eres cristiano? ,Not Hope,Sarcasm
"¿Estoy seguro de que te refieres a ""mediar"" en lugar de ""medicar""? ",Not Hope,Sarcasm
Probablemente perdí el tiempo creando este debate. ,Not Hope,Sarcasm
También escuché eso. ,Not Hope,Sarcasm
"Er, estás haciendo el complejo de Dios nuevamente. ",Not Hope,Sarcasm
"Deja que la gente agradable de Hutch me grite que ""coma mierda"" mientras corro. ",Not Hope,Sarcasm
No puedo creer que intentes hacer una afirmación tan loca. ,Not Hope,Sarcasm
¿Quieres decir que no crees que tienes tu propia religión inventada? ,Not Hope,Sarcasm
ni; ,Not Hope,Sarcasm
Me encanta cómo los Wingnuts de Rightie piensan que Obama es un musulmán socialista cuando su propio nominado vicepresidente mentalmente defectuoso es un miembro en ejercicio de la Iglesia Pentacostal y creacionista. ,Not Hope,Sarcasm
@inkofreality @strangertings1 @nytimes estás tan cerca de comprender el sesgo de referencia. ,Hope,Sarcasm
Jejeje. ,Not Hope,Sarcasm
"Me lastimé el pie como hace 3 días, no tengo idea de cómo, pero duele presionarlo. ",Not Hope,Sarcasm
"Ooops, error tipográfico. ",Not Hope,Sarcasm
No bebo y no tengo sobrepeso. ,Not Hope,Sarcasm
El Horsehoe Bend fue cretado por la inundación en la imagen de la herradura inmaculada. ,Not Hope,Sarcasm
Lo que sea. ,Not Hope,Sarcasm
"Sí, sí, lo que sea y también hay católicos gay. ",Not Hope,Sarcasm
"¿Y su solución a la actual crisis económica es?
",Not Hope,Sarcasm
¿Por qué tienen que aceptar esto? ,Not Hope,Sarcasm
Apostas. ,Not Hope,Sarcasm
"Qué parte de ""lo que voy a hacer es usar mi influencia para convencer a los políticos de aprobar las leyes de control de armas de sentido común"" ¿No entiendes? ",Hope,Sarcasm
Pensar en ese momento Blizzard tuvo la brillante idea de cambiar el nombre de todos en sus foros a sus nombres reales. ,Not Hope,Sarcasm
¡Y podría haber sido extraterrestres liberales también! Oooh. ,Not Hope,Sarcasm
Buena evasión. ,Not Hope,Sarcasm
Lo que parece ser montañas para otros partidarios de los derechos de los homosexuales son solo colinas para tiemoticonxhoho,Not Hope,Sarcasm
"Dificultades de lectura, ¿eh?  ",Not Hope,Sarcasm
"Bueno, con el pensamiento desafiado a las personas como Slimjim flotando a su alrededor, no es de extrañar que tengamos una agencia deshonesta sin supervisión atacando a los ciudadanos honestos. ",Not Hope,Sarcasm
¿Entonces eres pro-vida y odias a los liberales? ,Not Hope,Sarcasm
Entonces debes haber esperado que fuera un mudo en el programa. ,Not Hope,Sarcasm
"¡Bueno, eso deja escapar la mayor parte de la Corte Suprema cuando aparece RVW! ",Hope,Sarcasm
¿Qué tiene que ver el Big Bang con la evolución?   ,Not Hope,Sarcasm
"Oh, eso no es políticamente querecto y es un wif secialmente el elegido que hace la disculpa mundial Toure, no veo que eso caiga.   ",Not Hope,Sarcasm
"Más tonterías irracionales, ¿y has olvidado que soy un árabe? ",Not Hope,Sarcasm
"En realidad, publicaste algo que tenía buen sentido, y también era divertido, tal vez hay esperanza para ti todavía.",Hope,Sarcasm
"¡Oh, hombre! ",Hope,Sarcasm
¿Mi odio a la iniquidad contra tu amor por ello? ,Not Hope,Sarcasm
Habla sobre ilusiones incoherentes. ,Not Hope,Sarcasm
"Oye, ¿alguien sabe de alguna organización que tenga reservas masivas de dinero que puedan ser súper útiles para el mundo durante una crisis pública?",Not Hope,Sarcasm
"Maldita sea, toma algunas gónadas reales (espera, eres una lib, así que rasca esa) para reclamar el poder de entrar en las mentes y los corazones de las masas ... una protesta de los conservadores debe ser racista, pero una protesta de las libres es pura y justa, ¿correcta?",Not Hope,Sarcasm
"emoticonxkill 
",Not Hope,Sarcasm
"Entonces, ¿eres un experto en esto como si estuvieras sobre la economía de enviar dinero fuera del país?",Not Hope,Sarcasm
"¿Por qué es que los izquierdistas son incapaces de permanecer en el tema y responder a lo que realmente dice un oponente? 
",Not Hope,Sarcasm
: P deseo! ,Hope,Sarcasm
Entonces estás diciendo dr. ,Not Hope,Sarcasm
"Entonces, ¿quitar los derechos de las personas es un valor estadounidense? ",Hope,Sarcasm
"No te olvides más barato de alimentar, tomar órdenes mejor y son más difíciles de golpear.",Not Hope,Sarcasm
@xnemoooo @mcdonaldsuk @Tasshx Di que juro que no hayas bajado todo en ACAPULCO. ,Not Hope,Sarcasm
"Igual no significa bueno, guardado o incluso iluminado, preppie.
",Not Hope,Sarcasm
"Sí, sí, soy completamente asinino. ",Not Hope,Sarcasm
"Entonces, la fe y el argumento de la incredulidad. ",Not Hope,Sarcasm
"¿Quizás pueda proporcionar un ejemplo para que pueda ir a la ""escuela""?",Hope,Sarcasm
No se entendía como un insulto ... solo una declaración de hecho. ,Not Hope,Sarcasm
"¿Ah? ""Cabeza rascadora"", acabo de despertar, ¿qué? ¿La elección de las mujeres, su cuerpo, la pena de muerte? Ah, ok Gotch Ya.Emoticonxfrazzled",Not Hope,Sarcasm
Y tampoco Dios los escribió. ,Not Hope,Sarcasm
¿No lo sabes? ,Not Hope,Sarcasm
¡Sin duda Matthew! ,Not Hope,Sarcasm
¿No tienes ese otro foro deformado extraño en el que publicas ahora? ,Hope,Sarcasm
¿Entonces una madre puede matar a su hijo discapacitado? ,Not Hope,Sarcasm
¿Estás bromeando? ,Hope,Sarcasm
Me encanta cuando 'Heathens' intenta decirme qué hace o no hace mi religión. ,Not Hope,Sarcasm
"Ahora, ahora ...
",Not Hope,Sarcasm
No me interesa quién no te está golpeando. ,Not Hope,Sarcasm
"JT, Francia tiene atención médica para todos y una educación universitaria si puede aprobar la calificación. ",Not Hope,Sarcasm
La pregunta en el puesto era sobre países no establecidos en los Estados Unidos. ,Not Hope,Sarcasm
"Me encanta cuántos de los derechos le encanta decir que son independientes porque no están de acuerdo con tal vez un problema republicano, o porque tienen una desconfianza general del gobierno ... Sin embargo, sobre cada tema (además de tal vez el indicado) y cada voto que están bloqueando y pasan con los conservadores. ",Not Hope,Sarcasm
"Recuerde siempre gracias a su Alexa, por si la IA se hace cargo algún día",Hope,Sarcasm
"Ah sí, del curso la lluvia de verano se vierte cuando estoy a pie.",Not Hope,Sarcasm
"No estoy seguro de cuál es el umbral para Gezzerdom, pero me temo que lo he pasado.
",Not Hope,Sarcasm
Qué sorpresa. ,Not Hope,Sarcasm
Nunca tendrás ese problema de alivio cómico. ,Not Hope,Sarcasm
La pregunta es ¿los perros quieren ser protegidos? ,Not Hope,Sarcasm
"Para esta administración, la economía keynesiana es conservadora y FDR fue un torthwad.",Not Hope,Sarcasm
"Me encanta llamar a mi madre temprano en la mañana y despertarla, lo tomo como pago por todas las veces que nunca me dejó dormir en `` '",Not Hope,Sarcasm
"Bueno, mientras ignore la evidencia, ¿por qué necesita pruebas? ",Not Hope,Sarcasm
"Bueno, esa es una declaración estúpida. ",Not Hope,Sarcasm
"... dijo un ""cierto noble"" ...
",Not Hope,Sarcasm
Y eso te convertiría en el que aboga por el asesinato de nuestra futura generación.,Not Hope,Sarcasm
"Gracias por vincular mis declaraciones en las que respondí a su pregunta.
",Not Hope,Sarcasm
"Nuestro Señor y Salvador, Frank Ocean, nos ha salvado a todos una vez más.",Hope,Sarcasm
"Sí, la universidad es posiblemente la más sin sentido. ",Not Hope,Sarcasm
@Mythical tan preocupado por él. ,Hope,Sarcasm
¿por qué? ,Not Hope,Sarcasm
"Yo piensa que eres un ingenio tenue que piensa que Nerón tuvo una buena boda con su esclavo de catamita 'con una ceremonia y todo loiconxlove
",Not Hope,Sarcasm
"Ya veo, ... Entonces (para ti) no es que el niño tenga derecho a su vida o algo así.
",Not Hope,Sarcasm
"Oh, veo que EasyRider quiere que publique un poco más. ",Hope,Sarcasm
Pero supongo que esto es todo mi/nuestra culpa también. ,Not Hope,Sarcasm
"Ok, si Max es un hillbilly para su puntuación, entonces tú, Ray, ¡Aspire a Hillbilly-Hood! ",Not Hope,Sarcasm
¿La ayuda de alguien? ,Hope,Sarcasm
"¿Ah, de verdad?   ",Not Hope,Sarcasm
"Oh sí, es un verdadero teaser cerebral. ",Not Hope,Sarcasm
"Sí, si en mi prueba de matemáticas, puse ""la respuesta es 7 porque mi Dios lo dice"" y el maestro lo marca mal, ¿él es el xxxxx?",Not Hope,Sarcasm
"nena se detengo, estoy a punto de Gleek",Not Hope,Sarcasm
"Genial, entonces, si tiene una empresa que posee su 401k con sede en Nueva York, ¿eso significa que tienen que honrar su inversión en Virginia? ",Not Hope,Sarcasm
"Sabes, he visto este BS de ti con bastante frecuencia. ",Not Hope,Sarcasm
¿Estás citando otra película de mierda de Michael the Hutt? ,Not Hope,Sarcasm
"Parece que requerirá una respuesta hábil a una pregunta complicada, entonces, ¿qué tal esto: Pregunta: ¿Era Stalin un comunista? Respuesta: Eso es lo que dijo.",Not Hope,Sarcasm
Esperaba que hablar en inglés antiguo lo ayudara a entender.,Hope,Sarcasm
"Buen punto aquí, porque los medios nunca insultan a los derechistas ... emoticonxrolleyes 
",Not Hope,Sarcasm
"Winston, debo confesar mi ignorancia; ",Not Hope,Sarcasm
¡Disparates! ,Not Hope,Sarcasm
"http://66.221.20.150/evidence/hamilt...smok/file2.htm
",Hope,Sarcasm
Mis vecinos se burlan de mí fuera de la ventana de mi oficina relajándose en su bañera de hidromasaje cada día remotamente cálido mientras me siento aquí en zoom consecutivos todo el día todos los días. ,Not Hope,Sarcasm
"Estoy en Canadá, ¿así que como Happy 4Rth?",Hope,Sarcasm
Y supongo que por tus publicaciones mal informadas que no has sido alta antes. ,Not Hope,Sarcasm
"Entonces, ¿el ""origen de las especies"" tiene más información para los evolucionistas teístas que la Biblia? ",Not Hope,Sarcasm
"Entonces tendrías a la madre, los cuatro fetus morirán en su lugar. ",Not Hope,Sarcasm
¿Y la capacidad de digerir nylon no es una función nueva? ,Not Hope,Sarcasm
"Pensé que Dios les prohibía comer vacas muertas, ¿o era aves de corral? ",Not Hope,Sarcasm
"¿ah, de verdad? ",Not Hope,Sarcasm
"WW, ¿estás hablando contigo mismo?
",Not Hope,Sarcasm
"Entonces, usted apoya permitir que un UZI de 10 años y lo lleve a un tribunal federal o escuela siempre que no comete un delito? ",Not Hope,Sarcasm
¿Entonces su trabajo científico refutado? ,Not Hope,Sarcasm
"Si nuestros aliados de Ersthlle simplemente comenzaran a ver el mundo como realmente es con el mal sin imaginación ya que los nazis casi invaden toda Europa, sería un hombre feliz.",Hope,Sarcasm
"Si 2020 era una nariz, sería mía ����",Hope,Sarcasm
Usted y Omegawatsit son nosotros? ,Hope,Sarcasm
"Dime genio, ¿cómo estoy señalando con precisión y correctamente tu error que colude para dirigir mal a alguien? ",Not Hope,Sarcasm
"1984, ¿eh? ",Not Hope,Sarcasm
"@Matthewstadlen @sajidjavid muchas gracias por sus pensamientos perspicaces, estoy seguro de que @sajidjavid está encantado de que usted se guste de usted",Hope,Sarcasm
"Entonces, los creacionistas entre nosotros parecen estar diciendo que no hay pruebas para la evolución, ¿estoy en lo cierto? ",Not Hope,Sarcasm
"Como JP señaló, canadiense, y es mejor que creas que ""daré una vuelta"" a mis opiniones. 
",Not Hope,Sarcasm
"<Shush> ¿Tu propia fuente dijo que hay un acantilado a una milla y media de distancia, y soy el mentiroso? ",Not Hope,Sarcasm
@Geoffreybrock6 @revrichardcoles ¿realmente crees eso? ,Not Hope,Sarcasm
"Querida Lisa, quiero decirte que estás caliente. ",Hope,Sarcasm
No tengo un comentario. ,Hope,Sarcasm
Gracias. ,Hope,Sarcasm
"Entonces el SIDA es culpa de ""The Gays""? Emoticonxrolleyes 
",Not Hope,Sarcasm
"¡Creo que la decisión judicial en Nunn vs. Estado de Georgia hizo la mejor suma de este derecho! ""Sí, todos los liberales aman los casos judiciales volcados que nunca vieron la luz a través del proceso de apelaciones. Creo que Ohio y su constitución finalmente prevaleció y ahora llevan abiertos o ocultos.",Not Hope,Sarcasm
No puedes 'dejar caer' lo que nunca tuviste en primer lugar. ,Not Hope,Sarcasm
"¿Por qué la gente no quiere admitir que fue el gasto imprudente de Bush en una guerra que no necesitábamos? Los recortes de impuestos para el 2 % más rico de Estados Unidos, el hecho de que bajo Bush tuvieron que agregar espacio en el reloj de la deuda, sin mencionar que él era tan tonto como una roca, pero pueden colocar todo este culpa a Obama que heredó este lío y que nos ha hecho más para salir de él que Bush o cualquier republican habría hecho. ",Not Hope,Sarcasm
"Como un viejo aficionado a la ciencia ficción, siempre existe la solución de fertilizantes. ",Not Hope,Sarcasm
"No soy grande en el problema del aborto, pero ¿estás diciendo que alguien que no está de acuerdo contigo es sexista y arrogante? ",Not Hope,Sarcasm
"¡Oh, también, mi canción con mi novio de secundaria fue `` 143 '' por Bobby Brackins !! ",Not Hope,Sarcasm
"Breve, pero inútil.
",Not Hope,Sarcasm
"Por lo tanto, no importa que alguien muera en sus cuarenta años por el hambre y el frío porque no tienen hogar y sin dinero, mientras que otro vive en lujo con la mejor comida y medicamentos hasta los 80 años: ambos son iguales? ",Not Hope,Sarcasm
"Nunca pensé que diría esto, pero me he convertido en una de esas personas a las que les gustan los bares de recompensas.",Not Hope,Sarcasm
"Creo que si prestas atención, solo encontrarás personajes hetero en el Dr. Seuss. ",Not Hope,Sarcasm
"Estudios de 1955, 1961, 1964? ",Not Hope,Sarcasm
Creo que estamos viendo una guerra cultural. ,Not Hope,Sarcasm
"Bueno, supongo que tienes algo allí. ",Not Hope,Sarcasm
"No tengo un Lynx Africa para el día de Navidad de este año, conmocionado e indignado. ",Not Hope,Sarcasm
¿Alguien necesita un cuerpo para un sacrificio humano? ,Not Hope,Sarcasm
"Ese ""por fotón absorbido"" es el sorteo. ",Not Hope,Sarcasm
¿Alguna vez has visto esas caricaturas de Plympton? ,Not Hope,Sarcasm
"Te digo qué, mueve 100 Lightyears de la Tierra, ahora míralo con un telescopio. ",Not Hope,Sarcasm
"Entonces, ¿pedirías a la misericordia a los abusadores de niños, torturadores, asesinos en masa, Hitler, etc.? ",Not Hope,Sarcasm
"Hombre, ¿qué has estado olfateando? ",Not Hope,Sarcasm
¿No celebrarías que Osama esté fuera de escena? ,Not Hope,Sarcasm
"¡Uhhhh, acabo de decir que juzgo! ",Not Hope,Sarcasm
Me encanta cuando los homófobos heterosexuales nos dicen qué es ser gay. ,Not Hope,Sarcasm
"Entonces, si salgo y compro un automóvil de la marca X y luego me arrepiento un año después, ¿eso significa que a nadie se le debería permitir salir y comprar un automóvil de marca X? ",Not Hope,Sarcasm
Usando mis habilidades de edición de video recientemente adquiridas en mí para variar. ,Not Hope,Sarcasm
"Sabes, tú y Saddam pueden tener más en común de lo que podrías haber pensado.   ",Not Hope,Sarcasm
"Bueno, en realidad, no he visto su punto de vista expresado en ningún lado, excepto en estos foros. ",Not Hope,Sarcasm
"Bienvenido a Creationistland, donde las reacciones químicas no pueden explicarse o predecir a menos que sepamos el origen de los átomos involucrados. ",Not Hope,Sarcasm
"Aquí hay un hecho de que no tiene que gustarle: 
",Not Hope,Sarcasm
Acabo de dislocar mi maldita rodilla nuevamente mientras salía de una caminata ������������ Fab,Not Hope,Sarcasm
Yo no aparecer al trabajo es un movimiento feminista en realidad,Not Hope,Sarcasm
Tengo muchas ganas de no abrazar a mis amigos y familiares a través de elección en lugar de por ley.,Hope,Sarcasm
JAJAJA. ,Hope,Sarcasm
Tu Dios no ve ningún grado de pecados. ,Not Hope,Sarcasm
mirar. ,Not Hope,Sarcasm
"¿Cuántas veces han estado haciendo los ""evangélicos"" tan preocupados ""por lo que están haciendo los niños homosexuales y los padres homosexuales?
",Not Hope,Sarcasm
"Usted es el que confunde el sexo de un niño con naturaleza sexual.
",Hope,Sarcasm
Oh Dios mío. ,Hope,Sarcasm
Bien. ,Not Hope,Sarcasm
"@Danielingolfur @the_timbrodini @viqueen55 @tedcruz lo sé, ¿verdad? ",Not Hope,Sarcasm
¿Qué tan poco interesante debe ser para usted pasar intencionalmente tiempo molestando a las personas en Internet?,Not Hope,Sarcasm
¿Me dices que algún día podría hacer que las garras salgan de mis manos? ........ ¡Dulce!,Hope,Sarcasm
Esa es una de las cosas más tontas que he escuchado. ,Not Hope,Sarcasm
"Escúchame ... La letra en ""Coney Island"" debería haber sido ""perdida nuevamente sin sorpresas, las decepciones cierran tus ojos"" 

",Hope,Sarcasm
Y simplemente no puede confiar en lo que escucha en MTV o en la radio. ,Not Hope,Sarcasm
La inanidad en defensa de las armas continúa sin cesar. ,Not Hope,Sarcasm
¿Crees que cuando un hombre blanco de mediana edad va a comprar un F150 nuevo y elevado que verifica para asegurarse de que su pene sea increíblemente pequeño? ,Not Hope,Sarcasm
Salí afuera hoy y de repente mi depresión se cura,Not Hope,Sarcasm
Y las apelaciones emocionales irracionales rara vez se mantienen frente a la lógica,Not Hope,Sarcasm
Toda la ciencia es provisional. ,Not Hope,Sarcasm
"Realmente es triste cuando un oponente es más amigable que un aliado, mega. ",Not Hope,Sarcasm
"Si miras #TheCrown y no diste simultáneamente a la familia real, ¿miraste la corona?",Not Hope,Sarcasm
"Una vez más, ¿muestran nuestras palabras exactas donde decimos que debería negar sus argumentos contra el matrimonio entre personas del mismo sexo? ",Not Hope,Sarcasm
"Entonces te equivocas, de una manera general! ",Not Hope,Sarcasm
"Entonces, ¿pasas todos tus días como un shill de Obama? ",Hope,Sarcasm
"Si todas las mujeres abortaron cada embarazo, ¿habría bebés? ",Hope,Sarcasm
Vea a Simone Sweetie de lo que he estado hablando. ,Not Hope,Sarcasm
"Llegan la vieja respuesta de 'Dios lo hizo así': la ignorancia es la dicha y hace que la vida sea mucho más simple, ¿no crees?  ",Not Hope,Sarcasm
"Simplemente imprima tus propias publicaciones, mi querido James. ",Hope,Sarcasm
Es una lástima que olvidé cómo jugar mi clarinete tan cerca de mi recital,Not Hope,Sarcasm
No entiendes las palabras; ,Not Hope,Sarcasm
"Entonces, ¿ser fácil de saber lo hace bueno? ",Not Hope,Sarcasm
"De la misma manera que la mayoría de las personas en el planeta Tierra no le dan a un xxxx sobre el ""fútbol"" estadounidense",Not Hope,Sarcasm
"Qué maduro: todas las gorras gritan y se están dando cuenta.
",Not Hope,Sarcasm
No es cierto. ,Hope,Sarcasm
"¡Vaya, todo el mundo solo está sacudiendo en sus botas que tu dios imaginario los magia de la tierra! ",Hope,Sarcasm
Veo que has conocido a mi acosador. ,Not Hope,Sarcasm
"Y pensar que casi teníamos cura para el cáncer, solo vencer a los espíritus damónicos.",Hope,Sarcasm
No hay una mejor manera de despertarse que hacer que un perro salte directamente sobre el estómago y te quite el viento mientras el otro deja caer un roedor muerto en el extremo de la cama. ,Not Hope,Sarcasm
"Jack Antonoff una vez que terminaste con Clairo, estoy aquí, cariño",Hope,Sarcasm
"Oh sí, lo olvidé, el gobierno está dispuesto a conseguirte. ",Not Hope,Sarcasm
Tus vistas extremistas están surgiendo. ,Hope,Sarcasm
Fui a ver el BIOS de los (exclusivamente) tipos hipster que funcionan en una tienda de bienes boutique rivales y descubrieron que todos viajaron internacionalmente durante la pandemia ``������������������������������������������������������������������������������������,Not Hope,Sarcasm
"Este en particular, formulado como es, bien podría fallar. ",Hope,Sarcasm
"Cuando pienso en las grandes mentes de la literatura, Ann Coulter ciertamente no está en la parte superior de mi lista. ",Hope,Sarcasm
Así que estoy pensando que no pasará mucho tiempo antes de que vea que tu trasero se mueva a Nueva Inglaterra ... ¡búscame cuando llegues aquí!,Hope,Sarcasm
"Entonces eres sincero, pero yo soy un mentiroso. ",Not Hope,Sarcasm
¡Estoy sorprendido! ,Not Hope,Sarcasm
Una historia ligeramente anterior muestra que Clinton no estaba tan preocupado por Bin Laden. ,Not Hope,Sarcasm
Está bien. ,Not Hope,Sarcasm
"""Ese es tu problema, eres un Putz santónico que piensa que, debido a que dices algo, debe ser aceptado automáticamente como el evangelio por alguna razón, sin apoyar nada que digas con evidencia real"". 
",Not Hope,Sarcasm
Solo metió toda mi mano en un horno caliente sin pensar en las consecuencias. ,Not Hope,Sarcasm
"¿Podría evitar su uso constante de las falacias de Strawman, por favor?",Not Hope,Sarcasm
¿Qué publicación crees que demuestra con mayor precisión la ética de Archie? ,Not Hope,Sarcasm
Amo un buen llanto �������,Hope,Sarcasm
Un poco grosero de mi estómago para que todavía haga ruidos de ballenas después de haberle dado una barra de proteína completa,Not Hope,Sarcasm
¿Qué tal una universidad suiza? ,Not Hope,Sarcasm
"Sí, diría que estás equivocado. ",Not Hope,Sarcasm
"Caramba, estoy lanzado por tu contraargumento maduro y articulado. Emoticonxrolleyes Todos sabemos que los genitales no tienen nada que ver con el sexo.",Not Hope,Sarcasm
Sospecho que muchos monitores y teclados se limpiaron en ese. ,Not Hope,Sarcasm
¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡.Us ,Not Hope,Sarcasm
"Eso no es evolución, eso es la abiogénesis.   ",Not Hope,Sarcasm
"Entonces, ¿qué estás proponiendo? ",Not Hope,Sarcasm
No dije que pensé que eso sería poner palabras en mi boca. ,Not Hope,Sarcasm
Dijiste que no había un grupo proabortista antes de Roe V Wade. ,Not Hope,Sarcasm
"De la misma manera, para la mujer le disparó al chico, no cuando estaba en la ducha, pero después y ¿de qué sirve le hizo?   ",Not Hope,Sarcasm
¿Cómo está demostrando que cuando ha hecho todo lo posible para ignorar sus fallas?  ,Not Hope,Sarcasm
