binary,multiclass,translate_german
Not Hope,Sarcasm,"Ich denke, es ist ein ziemlich ordentlicher Trick für ein totes Baby, gerade in diesem kleinen Wanne sitzen."
Not Hope,Sarcasm,"Es ist ein echtes Chaos, obwohl man ihnen Punkte für Originalität geben muss."
Not Hope,Sarcasm,"Welcher Teil von ""Ich will keinen Penis"" verstehen Sie nicht ganz? Ist es, dass Sie vielleicht derjenige sind, der einen Penis will? Es gibt Möglichkeiten, dieses Problem zu lösen. emoticonXRolleyes"
Not Hope,Sarcasm,"Wahrscheinlich ordentliche Entschuldigung. Erwartest du, dass Jim diesen Anspruch aufrechterhalten wird? emoticonXGood Don't hold your breath."
Not Hope,Sarcasm,"Sagen Sie das einem 17-jährigen Kind!! Haben Sie nie ein 17 Yera alten horny ****** gewesen sein? Warte ich vergessen, mit wem ich sprach,.. mehr als wahrscheinlich nicht."
Not Hope,Sarcasm,"Vielleicht sollten Sie nur eine Religion für Homosexuelle bilden, in der alle Mitglieder miteinander verheiratet werden müssen... dann die Frage der Religionsfreiheitsrechte anstreben. ;)"
Not Hope,Sarcasm,"Ja, die Bibel sagt uns, dass Gott selbst verhindern wird, dass Pharao die Israeliten gehen lässt, dann umkehren und Pharao bestrafen, indem er seinen Erstgeborenen tötet! Aber es ist schlimmer, weil Gott nicht nur den Erstgeborenen Pharaos tötet, sondern alle Ägypter Erstgeborenen! Oh, aber vielleicht ist die Bibel einfach irgendwie verwirrt: vielleicht wiederholt es nicht, dass Gott Pharaos Herz gehärtet hat. Nein. Die Bibel sagt es mehrmals."
Not Hope,Sarcasm,"Oh, Mrwriterman machte ein lustiges. Ich denke nicht alle Homosexuelle sind humorlos. :)"
Not Hope,Sarcasm,"Kannst du nicht mit deiner eigenen Linie aufkommen? Ich dachte wirklich nicht, dass du den Haufen von Würmern sehen würdest, die sich aufwirbeln würden, wenn homosexuelle Ehe gesetzmäßig war, aber ich versuchte, Ihnen meinen besten Schuss zu geben.............Ich habe nicht einmal die Einnahmesteuer-Implikationen erwähnt, wenn dies erlaubt war............"
Not Hope,Sarcasm,"Du bist so locker wie sie ist. Aber dann bist du ein Vogel Gehirn. Ich nehme an, du kannst es nicht helfen."
Not Hope,Sarcasm,"Nehmen Sie es nicht persönlich EZ, Geisteskrankheit ist eine Krankheit, nicht etwas, womit Sie etwas tun können..."
Not Hope,Sarcasm,"Jyoshu. Komm zurück auf die Erde. Wie oft sehen Sie den Begriff ""bigot"" herumgeworfen auf diesen Messboards gegen andere Poster?"
Not Hope,Sarcasm,"Sie mus denken, Sie sind ziemlich intelligent huh? Nun wählen Sie was? Sie verwechseln häufige, häufigste, Mehrheit und Norm. Lefthandedness gilt als häufig und die Norm. Sie verwenden eine Superstition von 300 Jahren zurück, um Lefthandedness als abweichend zu qualifizieren. Gut versuchen, obwohl. Auch Lefthanded ist genetisch. Es ist nicht ein Gen, aber es ist genetisch verwandt mit den physischen Eigenschaften der Person."
Not Hope,Sarcasm,"und plötzlich vors Liste der falschen Aussagen hat ein weiteres Rundum um das Universum beendet! die Gegend, die literarisch mit Kreuzfahrtraketen gesättigt war, war sparsam bevölkert. die Messing beklagt über 'behalten leere Zelte mit multi-millionen Dollar Kreuzfahrtraketen.' plötzlich sind Sie besorgt, unschuldige Zivilisten zu töten? ernsthaft, Sie haben kein Problem, wenn Bushs Politik ein paar tausend getötet wird, aber der sofortige clintons massive Kreuzfahrtraketenabwurf Aganist Terroristen tötet einen unschuldigen, Sie sind alle über ihn. sprechen Sie über massive Heuchelei. Sie Scheiße über clinton nichts zu tun, dann Scheiße, wenn seine Angriffe auf den Terrorismus Kollateral. ernsthaft, erhalten Sie einige Therapie und einige Bildung."
Not Hope,Sarcasm,"Winning any political election has never been about electing the ""best"" man for the office, it simply means you appeal to the majority of people that showed up to vote. Smartest and most popular aren't necessarily the same person, if you went to school you probably remember that. ;)"
Not Hope,Sarcasm,So sind einige Teile der Bibel schließlich falsche mündliche Geschichte! Was für eine erfrischende Zulassung.
Hope,Sarcasm,"Für einen guten Lachen folgen Sie mir auf @vsheltonsports, um meinen besten Versuch zu sehen, Sport-Geschäftsnachrichten für die Klasse dieses Semester zu coveren."
Not Hope,Sarcasm,"Ich werde den Kontakt mit jeder Person, die ich kenne, beenden und in einigen Monaten oder einem Jahr von jetzt herauskommen, die Fähigkeit, physisch zu sprechen verloren haben, aber in der Lage, die meanest fucking Akkordeon zu spielen, die Sie je gehört haben in Ihrem pathetischen kleinen Leben"
Not Hope,Sarcasm,"Verknüpfen Sie mich bitte mit einem Wort, das sagt, dass Weed 'Abhängigkeit' schlimmer ist als Alkoholismus."
Not Hope,Sarcasm,"""militärisches Muster, freistehendes Pistole Griff: Vielleicht ist dies, was eine normale Feuerwaffe zu einer super duper hochleistungsfähigen Angriffswaffe macht.Es könnte passieren, wissen Sie, dass die .22lr in eine .50 cal. Sniper Rifle.hahahahahahahahahaha."
Not Hope,Sarcasm,"Warum? Würden Sie lieber für zwanzig Minuten zum Tode geschnappt werden, als mit einer Kugel in den Kopf geschlagen zu werden?"
Not Hope,Sarcasm,"Einige etwas frühere Geschichte zeigt, dass Clinton nicht ganz so besorgt über Bin Laden war. Im Jahr 1996 hatte die CIA Bin Laden auf einem Ranch in Afghanistan angehoben. Es brauchte die Erlaubnis NICHT vom Clinton White House (nicht vom Kongress) um es zu verdampfen - es war mitten in der Nichts. Ein Beamter aus den ""United Arab Emirates"" war mit ihm, das war Clintons Ausrede dafür, es nicht zu tun. Was dachte er, dass sie tun, Cookies zu machen, oder hat es dawn auf ihn, dass sie möglicherweise nicht gut gewesen sind?Danke sehr, William Jefferson Clinton!"
Not Hope,Sarcasm,Die Zahnfee hat eine andere Funktion als der Oster bunny.
Not Hope,Sarcasm,"Ich dachte dasselbe. Ich habe noch einen Homosexuellen getroffen, der nicht spielte die ewige Opferkarte, so was wird er tun, wenn er seine Sexualität und einige roten Hals Haser remodeliert sein Auto inseriert? Oh warten, er ist an der Rechtsschule, was besseren Weg, um eine Karriere als Lügner zu bauen, er ich meine einen Anwalt. emoticonxrolleyes"
Not Hope,Sarcasm,"Es scheint, dass jemand nicht mit der Tatsache festhalten konnte, dass er ein nahester Rassisten war. emoticonXCry"
Hope,Sarcasm,"Ich habe nicht geglaubt! Ich habe einfach nicht geglaubt! Ich habe gehofft! Wie ich gesagt habe, müssen Sie offen für die Möglichkeit sein. Wenn Sie glauben, es gibt keinen Gott und weigern sich, offen für die Möglichkeit anders zu sein..Alles, was ich sagen kann, ist ich hoffe, dass Sie Frieden in Ihrem BMW in Ihrem Big House finden, Ihr Pfleger, Ihr Junge / Ihre Freundin, Ihre Frau / Ihr Mann, Ihr Sohn / Ihre Tochter ... Ihr kleines kleines Leben!"
Not Hope,Sarcasm,"Sind Sie ernst? Mann Ich dachte, dass Sie tatsächlich einen Gehirn in diesem dichten hohlen Kranium Ihrer hatte. Sie erkennen, es gibt Straight Atheisten und GAY Christen rechts Gans?"
Not Hope,Sarcasm,"@lora__ SHOCKED. Wie soll ich den Kindern sagen, dass sie am 21. Juni überhaupt nicht nach Disneyland gehen? Es wurde bereits 36 mal abgesagt! https://t.co/SV8gpPn6yw"
Not Hope,Sarcasm,"Die Tatsache, dass es auf MSNBC und Keith Olbermann ausgestrahlt hat, sagt mir, dass es nur auf einen Weg geschränkt werden könnte. Welche Einschränkungen setzt die Verfassung für die Familien von Richtern des Obersten Gerichtshofs? Aber natürlich sollten Richter über die ""konstitutionalität"" eines Gesetzes, nicht ihre eigene persönliche Ideologie, Recht? Ja, Recht.......emoticonXClown"
Not Hope,Sarcasm,"Ich vermute, dann, dass du kein Leben hast? Bin ich falsch?"
Not Hope,Sarcasm,"Ich denke, es ist eine gute Sache, dass ich nicht antwortete und/oder sprach mit Ihnen dann. Aber danke für Ihre Eingabe, es wurde notiert."
Not Hope,Sarcasm,"Hören, dass ich dich liebe, ist nett und alles, aber hat dein SO jemals dir gesagt, Scheiß zu essen? ugh @samduhclam"
Not Hope,Sarcasm,"Sicherlich ein Begriff, von dem ich nie gehört habe; nicht einmal wikpedia hat es."
Not Hope,Sarcasm,@kashirenaii ich würde nie zu sechs Flaggen mit u gehen
Not Hope,Sarcasm,"Achtzig und neun Mal. Immer noch ein ganz jüngerer Partner. Ich muss zugegeben haben, dass er nicht mag, wenn er leicht gemacht wird, wie durch Lukas 12:10 bewiesen. Man kann einige böse Dinge über den Menschensohn sagen, und alles ist gut. Aber sagen Sie einen off-colored Kommentar über den Heiligen Geist und es ist See-o-Feuerzeit. Er muss dicker Haut bekommen, IMO. Haben Geister Haut, BTW?"
Not Hope,Sarcasm,"also ist der schnellste Weg, um über 20.000 Punkte zu bekommen, nicht ernst zu sein? Check!"
Not Hope,Sarcasm,"es ist alles über Frauen in Stammkämpfen. was ist mit Frauen in interaktiven Medienkämpfen: ich gewinne nicht mehr gegen meine Freunde in Smash, weil sie im verdammten Videospiel spezialisiert sind."
Not Hope,Sarcasm,"Nach den Beweisen muss das sein, wo sein Gehirn sich befindet."
Not Hope,Sarcasm,"Jyoshu, hört auf, den Kool-Aid zu trinken, bevor dein Gehirn völlig gefroren ist."
Not Hope,Sarcasm,"hmmm. 'wow... und diese Op machte es durch den strengen Admin-Bewertungsprozess? sowieso, hier ist eine Frage für Sie zu überdenken. wenn Gott Mensch aus Schmutz gemacht, wie kommt es, dass es immer noch Schmutz um?' klingt wie ein Witz zu mir. evc Forum: menschliche Evolution (re: wenn aus Affen entwickelt, warum immer Affen?) aber wir alle wissen, dass Arch ist nicht in der Lage, die blauen farbigen Links zu öffnen."
Hope,Sarcasm,"""Als früher."" ""Zurück in die guten Olé-Tage."" Gib mir eine Pause. Nehmen Sie eine Zeitmaschine in die 50er-Jahre, willst du?"
Hope,Sarcasm,"Wenn wir eine Messinglampe reiben, drei Wünsche machen und unsere Energieprobleme sofort beheben könnten, würde ich mit Ihnen einverstanden sein. Aber da wir in der REAL WORLD leben, müssen wir OIL INDEPENDENT werden, während wir eine Infrastruktur der erneuerbaren Energiequellen perfektionieren und bauen."
Not Hope,Sarcasm,"Ich stimme nicht zu. Nun, nur in dieser Hinsicht denke ich, es ist höchste Zeit, dass wir alle auf einen höheren Standard halten. Wir sollten hetero Ehe suspendieren, bis sie ihre Handlung reinigen!"
Not Hope,Sarcasm,"Mehr Bibel blather. Fakten bitte!!!!!!!! Dies ist, wo Sie nicht verstehen können. Nur weil Sie eine Reihe von antiken Schriften in einer bestimmten Weise interpretieren, macht es nicht so. Vielleicht machen Sie besser einen anderen Telefonanruf an Gott für eine Erklärung."
Not Hope,Sarcasm,"Wo ist euer ""Beweis"", dass uns ein magisches Wesen in den Himmeln geschaffen hat?"
Hope,Sarcasm,"Ja, Ihr potenzieller Ehepartner wird Sie für Ihre Persönlichkeit mögen, nachdem Sie die Voraussetzung, das richtige Geschlecht für sie zu sein erfüllen."
Hope,Sarcasm,"Ich hoffe, dass meine Sozialarbeiter-Party Tequila und Chip und Salsa beinhalten wird"
Not Hope,Sarcasm,@brruhia Nah bruh du trinkst es nur umgekehrt
Not Hope,Sarcasm,"Und ich musste nicht wählen, Homosexuell zu sein. Es ist eine natürliche Neigung. Ich habe gewählt, nicht zu verstecken oder zu lügen, wer ich bin. Jedoch sind Sie derjenige, der scheint unter der Illusion zu sein, dass Homosexuell zu sein eine Wahl ist. Noch einmal frage ich Sie, ob es nur eine Wahl ist, dann wählen Sie, Homosexuell zu sein in diesem Moment."
Not Hope,Sarcasm,"Also mit anderen Worten, Sie sagen, dass irgendwo entlang der Linie, Gott seine Meinung geändert hat."
Not Hope,Sarcasm,"Und haben ein Kind mit einer terminalen Krankheit und beobachten, wie sie am wahrscheinlichsten langsam sterben, weil meine ""Gesinnungspartner."" Ja, ich denke, wenn sie bereit sind, mich durchzumachen, dass sie überhaupt keine Seelenpartner sind. >_>"
Hope,Sarcasm,"PORK FACTORY! Ich weiß, was Bismarck sagte über Wurst und Gesetze von Demokratien gemacht, aber PORK FACTORY!!?? Sie meinen, dass all diese Zeit Jimmy Dean produziert hat, was ich im Lebensmittelgeschäft kaufen. Ich hoffe sicher, dass er keine von ihnen Thar durn Illegale in seiner Fabrik zu beschäftigen.emoticonXSmilie"
Not Hope,Sarcasm,"Ich liebe nur, wie Sie versuchen, Mr. Forum Polizei hier Steve zu sein. Wenn Sie ein Moderator so schlecht sein wollen, warum nicht bewerben? Ich bin sicher, dass dieses Board die Hilfe verwenden könnte. Soweit Ihr Szenario es eher lächerlich ist, aber was auch immer. Punkt ist, wenn Leute Beweise verlangen, warum nicht ihnen das geben? Ich würde lieber ein offener ehrlicher Mann sein, als hinter einem Griff zu verstecken jeden Tag."
Not Hope,Sarcasm,"wow. das zeigt, dass meine kurzfristige Gedächtnis schmeckt. ok die ""Küche"" ist keine Gegend im Besonderen. Sie gehen in die Küche, indem Sie Beleidigungen aussprechen."
Not Hope,Sarcasm,"du bist brainwashed, tatsächlich. ich bin überrascht, dass du das nicht sehen kannst. ich meine wirklich, vorgeben, du bist ein Atheist. wenn du liest, was du gerade geschrieben hast, würdest du denken, du bist auch brainwashed."
Not Hope,Sarcasm,"Ich vermute, dass Sie diesen Teil verpasst haben: Staatssen. Robert Hagan (D-Youngstown) gibt an, dass sein Gesetz nur ""Tongue-in-cheek"" ist, aber sagt, dass die Nachricht alles andere als ein Witz ist. Als eine Geschichte aus einer homosexuellen Nachrichtenquelle, vielleicht haben Sie das Wort ""Tongue"" gesehen und angenommen, dass es eine lebendige Beschreibung einiger abscheulichen sexuellen Handlungen geben würde, so dass Sie stoppen, lesen, schließen Sie Ihr Browser-Fenster, schließen Sie Ihren Computer, färben Sie es in Desinfektionsmittel, etc., etc. Oder ist dies nur Beweis, dass Sie nicht lesen, was Leute veröffentlichen?"
Not Hope,Sarcasm,Ich habe ein ganzes Neues Testament. Sie haben was - ein Mund voller Verleugnung? Wenn Sie auf die Ebene des NT-Werks kommen lassen Sie uns wissen.
Not Hope,Sarcasm,"Lustig, ich dachte Heribert Nilsson war ein Botaniker. Lassen Sie keine kleinen Details wie diese in Ihren Weg kommen."
Not Hope,Sarcasm,"Oh, ja, dann beruhigt das den Streit nicht. Es muss eine Person sein, weil sie so sagt, jetzt. Vielleicht wird sie ihren Geist wieder ändern?"
Not Hope,Sarcasm,"Wie kann ich ein 'rechtmäßiges' Argument mit jemandem machen, der glaubt, alle Religionen auf 'ein Mann im Himmel' basieren. Es ist wie zu diskutieren über orientalische Kultur mit jemandem, der glaubt, China ist in Afrika...futile. China ist nicht in Afrika Xcaliber...keine Notwendigkeit, es zu googlen lol:)"
Not Hope,Sarcasm,"Kann ich nicht warten, dass diese $2000-Checks sofort ausgehen"
Not Hope,Sarcasm,"ok ich verstehe, er ist ein Redneck oh liebe hätte wissen müssen, unsere Marke (Ireland) ist etwas anders..."
Not Hope,Sarcasm,":p Ich habe keine Ahnung, wie man Präsidenten heutzutage bewerten kann, aber dieser gewisse Prez würde als *wai up dort klassifizieren. *Walking Around Idiot"
Not Hope,Sarcasm,"Gee Ich frage mich, ob ich einfach das Unkraut oder andere Gras auf den Hof kommen lassen sollte, nachdem ich viel Zeit verbracht habe, es mit Fescue zu säubern. Schließlich ist es alles nur Gras, huh? emoticonXRolleyes"
Not Hope,Sarcasm,"Wer würde jemals eine solche lächerliche Behauptung machen, außer einem Schöpfungstheoretiker?"
Not Hope,Sarcasm,"Wie würde ich einige der Lücken füllen? Hier war meine Reihenfolge: etwas wie einzelnliches Leben zum multizellulären Leben, zufällige multizelluläre Konglomerationen zu einer Amebe, zu einem Fisch, zu einem Dinosaurier, zu einem Säugetier, zu einem Affen und schließlich zu einem Menschen??"
Not Hope,Sarcasm,"Vielleicht möchten Sie simplistic erklären.Ist das anthropische Prinzip simplistic?Was natürliches Gesetz erstellt natürliches Gesetz?Woher kamen die Informationen?Ist Materie schaffen Materie simplistic? Materie schaffen Informationen?Here;s ein tiefer Gedanke:Wenn Materie das Universum erstellt, was, wenn es ändert es den Geist! emoticonXRolleyes"
Not Hope,Sarcasm,"Ich die Republikaner r wie tryna sagen sie gewonnen, aber idk warum sie nicht einfach dieses w eine Instagram-Umfrage bestimmen??"
Not Hope,Sarcasm,"Nun ok dann, warum sagen Sie uns nicht ""richtig"" Ansicht über homosexuelle Ehe? (Instead von nur b-wording)"
Not Hope,Sarcasm,Darf ich das als Beleidigung oder nur als Passagieren annehmen?
Not Hope,Sarcasm,"Ist das für jemanden ein wenig ironisch? Entweder vergiftet werden ist akzeptabel oder nicht, warum macht die Methode einen akzeptabel und Praktizierende der anderen ""Verlierer""? Ich trinke, rauche oder nehme keine illegalen Drogen."
Not Hope,Sarcasm,"Glücklich für den 2. Platz Brentford, dass es in diesem Jahr keine herausragende Mannschaft wie Leeds gibt, oder sie könnten keine Chance haben, die Liga zu gewinnen. #ncfc"
Not Hope,Sarcasm,"Ich liebe es, wenn Sie so hart arbeiten müssen, um irgendwelche Punkte zu vermeiden, die ich gemacht habe. Ich nehme es als Zustimmung zu meinem ursprünglichen Post."
Not Hope,Sarcasm,"lol. sagt derjenige, der sich nicht einmal darum bemüht hat, den spezifischen Post-Link zu öffnen. huh. wiederum, Sie kümmern sich nicht um Beweise. ich gab es zu Ihnen und Sie sagten, ich habe nie trotz des Linkes zum spezifischen Post genau dort getan. Lügner nennen Sie mich? gut, ich denke, es dauert, um einen zu kennen. fragwürdig. alles, was der Autor tat, war zu sagen, dass die Beweise ablehnt yec. er argumentiert nicht für eine andere Form des Schöpfungsismus. bitte stoppen Sie zu versuchen, zu argumentieren, es gibt nur eine Form des Schöpfungsismus. mein Gott, Sie sind unlaubt. immer noch vermeiden, warum Arch würde ersetzen yec mit Christentum eh? scheinbar denken Sie interchangeability bedeutet, dass die Wörter zwei verschiedene Dinge bedeuten, obwohl sie interchangeably"
Not Hope,Sarcasm,"Jäger, würdest du wirklich daran interessiert sein, dies logisch zu diskutieren? oder willst du einfach leere Äußerungen auswerfen und wegrennen, wenn sie herausgefordert werden? Wenn deine Ansicht die Wahrheit ist, dann hast du keinen Grund zu laufen."
Not Hope,Sarcasm,"wow, da geht es wieder. zuerst können wir die Kosten für die Gesundheitsversorgung durch die Einstellung viel und viel von Ärzten und Krankenschwestern und den Bau viel mehr Krankenhäuser... die müssen, wissen Sie, für bezahlt werden. jetzt können wir die Postpreise durch die Einstellung viel und viel mehr Lieferanten zu senken! die müssen, wissen Sie, bezahlt werden. Ihrer Ansicht nach scheint es, dass jede Kosten können reduziert werden, indem Sie mehr Geld verbrauchen... es ist wirklich faszinierend."
Not Hope,Sarcasm,"sieben Dämonen, huh? ist das viel? kleine Chance auf sauberes Leben mit diesen Leuten an Bord, huh? interessant. Ich bin fasziniert, dass Sie an Dämonen glauben. Gibt es noch? Wenn ja, wie sind sie manifestiert und wie würdest du das wissen?"
Not Hope,Sarcasm,"verantwortlich durch den Prozess? durch die Beratung, die ihnen gegeben wurde? wenn die Leute schrauben, sind sie schuldig für den Prozess. wie wäre es, die Berater verantwortlich zu halten? oh warten!! wie wäre es, die Leute, die die Berater in die Macht verantwortlich zu halten? oh scheiß!!! halten Sie die Regierung verantwortlich! halten Sie die Leute, die die Regierung verantwortlich zu halten. halten Sie jeden Bürger verantwortlich. wenn Sie hysterisch handeln, lassen Sie uns zurück auf das Thema. schöne Arbeit, Kapitän Rückblick. Sie setzen Sie sich auf den Prozess. 'ich hätte nicht gehandelt, wie ich mehr über das Bohren für Öl wissen als Ölgesellschaften'. offensichtlich sind Sie leicht von Fernsehen beeinflusst. zurückzufassen: wenn eine Ölgesellschaft schraubt durch Kostensenkung, die zu einer großen Umweltkata"
Hope,Sarcasm,"Du hast es noch nicht getan, Smiley... emoticonXBanghead Wenn Cupcakes Menschen wären? Es würde."
Not Hope,Sarcasm,"gut, das könnte passieren, wenn somhow Sie mutiert in einige..i dunno...600 bewaffnete Person. ?"
Not Hope,Sarcasm,"Wow ehat eine mutige neue Welt, in der Sie leben.... Nun sagen wir, dass nur 1% aller Waffenbesitzer widerstand (in uns, dass mehrere hunderttausend durch das Land gepfeffert ist). Mit der Aufmerksamkeit der Medien zu solchen Auseinandersetzungen zwischen Regierung und Bürgern, wie gehen Sie mit diesem zu tun?"
Not Hope,Sarcasm,"Aber wussten Sie nicht? Die USA sind eine christliche Nation und alle anderen Glaubensrichtungen sind dem unterworfen. Sie verstehen es nicht, sie glauben tatsächlich, dass sie Gutes tun und tun es auch für unser eigenes Wohl. Es sind nicht Terroristen oder irgendeine andere äußere Kraft, die eine Bedrohung für amerikanische Rechte und Freiheiten sind, es sind diejenigen wie das christliche Recht, die Sie wirklich zu befürchten haben. Jene wie Pat Robertson, oder Jerry Falwel, die Einfluss haben und viele andere ebenso wie Ihr Präsident. Wie viele andere Richter fühlen und glauben, wie Richter Moore in Alabama tat?"
Not Hope,Sarcasm,"""--Heinrich HimmlerDurch ihre Unterstützung der Nazi-Ideale versprechen wir mit Stolz \""Ja\"" die Medaille für Holocaust und Genozid. Herzlichen Glückwunsch Sie sind jetzt ein Unterstützer von Hitler."" und Sie gewinnen den PINK PANTIES Award!Ich habe Nachrichten für Sie PUNK - meine Familie floh die Nazis zu Fuß im Zweiten Weltkrieg"
Not Hope,Sarcasm,"Alittle über 5 Jahre...? Versuchen Sie 5 Jahre dieses September. Sie kennen die Leute, die es getan haben?! dann bitte rufen Sie die fbi sofort und sagen Sie ihnen, was Sie entdeckt haben, weil sie nicht beweisen können, dass Osama bin Laden hatte eine Verbindung mit dem 11. September 2001. das ist richtig. wir carpet bombardierten Afghanistan und zerstören die Regierung, die wir dort etabliert haben, ohne irgendwelche Beweise, dass Osama bin Laden mit dem 11. September zu verbinden. und richtig, dann in Irak einmarschten wir sagen, sie waren auch einige wie verbunden wie gut. und Sie waren so sicher, ubl angegriffen uns? wow, Sie müssen intelligenter sein als die gesamte amerikanische Nachrichtenagentur. Entschuldigung für meine sarkastische Antwort, aber die Mentalität, die Sie versuchen, voran zu treiben ist außer alles, was die Regierung uns sagt und nie in Frage ihre Motive oder"
Not Hope,Sarcasm,"Hate es dir zu brechen, aber er ist definitiv nicht weiß. Er ist asiatisch/afrikanisch-amerikanischer. Seine Mutter ist asiatischer Abstammung und sein Vater afrikanischer Abstammung. Wo bekommen Sie ""weiß""? Nun ein besseres Beispiel dafür, was Sie versuchen zu illustrieren wäre Barrack Obama gewesen, der genau 50/50 ist. Seine Mutter ist weiß, aus Kansas; und sein Vater schwarz, aus Afrika (Kenya genau sein). Jetzt ist er eine wahre Definition von afrikanisch-amerikanischer. (Aber was Alan Keyes sagen mag.) :p"
Not Hope,Sarcasm,@Ciara87C @RachaelSmarty @SashaHumphreys2 Meine Tinder-Konvose wurden lektiert
Not Hope,Sarcasm,"Tatsächlich, von wo dieser Ungläubige sitzt, Arch ist nur wiederholend, was die christliche Bibel sagt über, wer in den Himmel und wer nicht. Es gibt einen Unterschied... Aber, Sie müssten tatsächlich wissen, was die Bibel sagt, um zu verstehen, dass... Das ist oft etwas, die meisten Ungläubigen nicht lesen... Of couruse, auch nicht die meisten selbst-professing Gläubigen. IMO, Beleidigung an, was die Bibel sagt (und viele Menschen wiederholen) ist ähnlich Beleidigung an einem Kochbuch, das Salz in einem Rezept, das Sie nie essen. Jetzt, wenn der Koch versucht, Sie zu zwingen, das gesagte Rezept zu essen... dann können Sie alle Beleidigungen, die Sie wollen."
Not Hope,Sarcasm,"Das liegt daran, dass die Taliban in Afghanistan kein Öl hatten, mit dem sie betrogen werden konnten."
Not Hope,Sarcasm,"oh ja natürlich wirst du, und während dein an es wirst du ein Völkermord Diktator sein und die Leute werden immer noch lieben dein verdammtes Land anstatt es wieder ändern zu wollen! lol sehr lustig!"
Not Hope,Sarcasm,"Nein es ist nicht. Evolution geschieht und wurde beobachtet. Offensichtlich haben Sie die High School Biologie verpasst oder sonst nahm es in Texas (in unserer Klasse sagte sie es gab 2 Versionen des gleichen Videos, eine für Texas, wo es nicht einmal das Wort Evolution erwähnt)."
Not Hope,Sarcasm,"So, Clinton bekommen es auf mit Lewinsky ist ein Zeichen der Intelligenz? Sie können für die Obama-Administration mit diesen Arten von Smarts arbeiten. LOl!!"
Not Hope,Sarcasm,"Der App Store [ist]... ein wirtschaftliches Wunder, aber Apple-Magie funktioniert heute nicht bei #AntiTrustHearings #Apple dämpft Innovation, die das Lebendfleisch unserer Wirtschaft ist. -Lucy McBath spricht etwas Wahrheit heute #HouseJudiciary https://t.co/2swhC9daBM"
Not Hope,Sarcasm,"Irgendjemand muss sein kleines Goldenes Wörterbuch überprüfen. ""Random"" und ""selective"" sind Synonyme. Zu sagen, dass die Auswahl zufällig ist, bedeutet, die Unwissenheit der englischen Sprache zu akzeptieren."
Hope,Sarcasm,"Es ist nicht meine Schuld, wenn Sie nicht verstehen können, was ich sage.... bitte um Verständnis, ich kann nicht geben oder machen Sie verstehen, was für Sie unverständlich ist, aber Gott kann Ihnen helfen, bitte. Meditieren Sie darauf, betrachten Sie es, mull es und bitte um Führung durch Gott."
Not Hope,Sarcasm,"Sie wissen, was ist ein neuartiges Konzept? Vergewaltiger und sexueller Gewalttäter nicht nur das Leben ihrer Opfer ruinieren, sondern auch ihre eigenen Leben. ja. nicht die Opfer Zeugnis. vielleicht, wenn Sie nicht wollen, Vergewaltigungsbeschuldigungen dann DON T RAPE. auch ein neuartiges Konzept."
Hope,Sarcasm,"Und meine 8-jährige Schwester denkt, dass es Märchen am Boden des Gartens gibt."
Not Hope,Sarcasm,"Verwenden Sie etwas gesunden Menschenverstand, würdest du. Und während Sie dabei sind, versuchen Sie zu lesen! Ich sagte, und Sie zitiert mich als sagen:"
Not Hope,Sarcasm,"Sie Bibel hat Ihnen einen großen Dienst geleistet, es hat Sie Gehirn zu trocknen verwandelt. Sie sollten die Hölle aufwachsen und Ihren idiotischen Buch der Märchen wegsetzen."
Not Hope,Sarcasm,"Ich denke, ich verstehe das. Das Ziel ist klar, überprüfen. Selbstbeherrschung ist gut, überprüfen. Aber ich sehe nicht, was dies mit der OP zu tun hat. Können Sie erklären, bitte? Wer empfehlen Sie, sollte Selbstbeherrschung verwenden? Die Protestanten? Oder sagen Sie, Selbstbeherrschung ist Ihre Empfehlung für die Geburtskontrolle?"
Not Hope,Sarcasm,"Nein, überhaupt nicht. Lesen Sie den Beitrag oben. 'Christmas cracker'?? Was ist das? Hier haben wir Fortune Cookies.:)"
Not Hope,Sarcasm,"Oh, ich sehe. Also kümmert sich Amerika nicht um die Rechte der Menschen? Amerika kümmert sich nur um die Meinung der Mehrheit? Hm, das ist lustig. Ich erinnere mich nicht daran, dass ich diesen Teil in all meinen US-Geschichtsklassen gelernt habe. Wann sagten die Gründerväter das? Wo in der Verfassung, der Erklärung der Unabhängigkeit, oder dem Gesetz über Rechte könnte ich eine solche Vorstellung finden? 'Rouge"
Not Hope,Sarcasm,"guten Trauer... satanist?!.. mein Gott, wie kannst du so etwas sagen?! ich werde dich verbannen müssen, weil ich sogar das Konzept davon erwähnt habe! mein lieber alter Freund!"
Not Hope,Sarcasm,"Ich liebe, wie sie Tristan s Gesicht in dieser Saison der Kardashians blurieren LMAO wie hmmmm Ich frage mich, wer dieser geheimnisvolle Mann ist"
Not Hope,Sarcasm,"Diese verdammten schwarzen Leute! Alle wollen Respekt und Chancengleichheit! Sie sollten nur glücklich sein mit dem, was sie haben!Warum sollten sie für die gleiche Lohn arbeiten?Sie sind einfach egoistisch! [/end sarcasm] Diese Argumentation ist müde *yawn*"
Not Hope,Sarcasm,"Haz, ich sehe es nicht wirklich ein Problem. tun Sie? lassen Sie uns nicht über Rechtschreibung und andere solche foo foo Techniken wie dieses triflen. verstanden?"
Hope,Sarcasm,"Wahrlich. Wenn das ""gerettet"" wird, würde ich lieber mit dem Titanic hinuntergehen."
